(20000, 3101, 7142,1:30:698, 1), 
(20001, 3101, 7142,1:31:258, 2), 
(20002, 3101, 7142,1:31:228, 3), 
(20003, 3101, 7142,1:29:674, 4), 
(20004, 3101, 7142,1:31:975, 5), 
(20005, 3101, 7142,1:31:613, 6), 
(20006, 3101, 7142,1:30:859, 7), 
(20007, 3101, 7142,1:30:915, 8), 
(20008, 3101, 7142,1:30:813, 9), 
(20009, 3101, 7142,1:30:902, 10), 
(20010, 3101, 7142,1:31:237, 11), 
(20011, 3101, 7142,1:31:185, 12), 
(20012, 3101, 7142,1:30:212, 13), 
(20013, 3101, 7142,1:29:011, 14), 
(20014, 3101, 7142,1:30:683, 15), 
(20015, 3101, 7142,1:32:764, 16), 
(20016, 3101, 7142,1:30:330, 17), 
(20017, 3101, 7142,1:29:894, 18), 
(20018, 3101, 7142,1:30:667, 19), 
(20019, 3101, 7142,1:31:667, 20), 
(20020, 3101, 7142,1:31:731, 21), 
(20021, 3101, 7142,1:31:966, 22), 
(20022, 3101, 7142,1:31:560, 23), 
(20023, 3101, 7142,1:29:282, 24), 
(20024, 3101, 7142,1:31:338, 25), 
(20025, 3101, 7142,1:30:892, 26), 
(20026, 3101, 7142,1:32:769, 27), 
(20027, 3101, 7142,1:29:562, 28), 
(20028, 3101, 7142,1:30:941, 29), 
(20029, 3101, 7142,1:31:116, 30), 
(20030, 3101, 7142,1:31:352, 31), 
(20031, 3101, 7142,1:30:070, 32), 
(20032, 3101, 7142,1:30:333, 33), 
(20033, 3101, 7142,1:29:955, 34), 
(20034, 3101, 7142,1:29:177, 35), 
(20035, 3101, 7142,1:31:055, 36), 
(20036, 3101, 7142,1:30:316, 37), 
(20037, 3101, 7142,1:30:503, 38), 
(20038, 3101, 7142,1:29:192, 39), 
(20039, 3101, 7142,1:31:488, 40), 
(20040, 3101, 7142,1:31:548, 41), 
(20041, 3101, 7142,1:31:486, 42), 
(20042, 3101, 7142,1:29:279, 43), 
(20043, 3101, 7142,1:32:738, 44), 
(20044, 3101, 7142,1:31:981, 45), 
(20045, 3101, 7142,1:32:332, 46), 
(20046, 3101, 7142,1:32:393, 47), 
(20047, 3101, 7142,1:31:923, 48), 
(20048, 3101, 7142,1:32:985, 49), 
(20049, 3101, 7142,1:30:032, 50), 
(20050, 3101, 7142,1:29:270, 51), 
(20051, 3101, 7142,1:31:318, 52), 
(20052, 3101, 7142,1:30:716, 53), 
(20053, 3101, 7142,1:30:061, 54), 
